time,Андрей_Болконский,Пьер_Безухов,Наташа,Николай_Ростов
1,0.22816647589206696,0,0,0
2,0,0,0,0
3,-0.10963086287180583,0.5111036698023478,0,0
4,0.3557848632335663,0.13805984258651732,0,0
5,0.018691495060920715,-0.020187243819236755,0,0
6,-0.32135756810506183,-0.2952718064188957,0,0
7,0,-0.27893689274787903,0,0
8,0,0,-0.6001983880996704,0
9,0,0,0,0.02718232572078705
10,0,0,0.017112240195274353,0
11,0,0,0.30736804008483887,0.30736804008483887
12,0,0,0,0
13,0,-0.18617373208204904,0,-0.03877706825733185
14,0,0.3702353835105896,0,0.3702353835105896
15,0,-0.37446796894073486,0,-0.348655104637146
16,0,0.23371636867523193,0.039370328187942505,-0.287777841091156
17,0,0.3276783227920532,0.32420845329761505,-0.523430347442627
18,0,-0.350796602666378,0,0
19,0,-0.31278707683086393,0,0
20,0,-0.3213619887828827,0,0
21,0,-0.36967993155121803,0,0
22,0,0,0,0
23,0.445390397310257,0,0,0
24,-0.4305737316608429,0,0,0
25,0.32179761305451393,0,0,0
26,0,0,0,0
27,0,0,0,0
28,-0.23371636867523193,0,0,0
29,0,0,0,-0.254872328042984
30,0,0,0,-0.3233107477426529
31,0,0,0,0
32,0,0,0,0
33,0,0,0,-0.18492059906323752
34,0.01920829713344574,0,0,0
35,-0.04864514867464701,0,0,0
36,0,0,0,0
37,0,0,0,0
38,-0.35467810928821564,0,0,0
39,0,0,0,0
40,0.009669989347457886,0,0,0
41,0.5000100135803223,0,0,0
42,0,0,0,0
43,-0.1364335517088572,0,0,0
44,0,0,0,-0.0947845024721963
45,0,0,0,0
46,-0.3007555902004242,0,0,-0.3762114465236664
47,-0.3629792034626007,0.0955374918200753,0,0
48,0,-0.08404959312507085,0,0
49,0,0,0,0
50,0,0,0,0.38492217659950256
51,0.20690405368804932,0,0,0
52,0,0,0.48378436267375946,0.2689514458179474
53,0.3712935894727707,0,0,-0.24541851026671274
54,0,0,0,-0.20231751600901285
55,0.1083189504487174,0,0,0
56,0,0,0,-0.0728265792131424
57,0,0,0,0
58,-0.3415925204753876,0,0,0
59,0,0,0,-0.5083173632621765
60,0,0,0,0
61,0.3045469671487808,0,0,0
62,-0.23463186621665955,0,0,0
63,0,0,0,-0.3858378529548645
64,0,0,0,-0.350957915186882
65,-0.09253117442131042,0,0,0
66,0,0,0.08325701653957367,0.16767213290387933
67,0,0.4532718360424042,0,0.8558611869812012
68,0,-0.3140605390071869,0,-0.23935934901237488
69,0,-0.4538923352956772,0,-0.36525677144527435
70,0,-0.3037196695804596,0,-0.30095145106315613
71,0,-0.4439603288968404,0,0
72,-0.44553956389427185,0,0,0
73,0,0,0,0
74,-0.1002518634001414,0,0,0.3557848632335663
75,0,-0.05255720019340515,0.3557848632335663,-0.13776889940102896
76,0,0,0,-0.3557848632335663
77,0,0.3998216390609741,0.19973322749137878,0.3634854058424632
78,0,0,-0.3276783227920532,-0.4163656107016972
79,0,0,0,-0.4085945387681325
80,0,0,0.19017517069975534,0.2950098713239034
81,0,0,-0.3014090210199356,-0.22675808668136596
82,0,-0.30864604115486144,0,0
83,0,-0.20916380286216735,0,0
84,0,-0.049551814794540405,0,0
85,0,-0.37492532283067703,0,0
86,0,-0.320831298828125,0,0
87,0,-0.33459946513175964,0,0
88,0,0,0,0
89,-0.320831298828125,0,0,0
90,-0.36310289800167084,0,0,0
91,0,0.1778208613395691,0,0
92,-0.29857383029801504,-0.40349212288856506,0,0
93,-0.0009642988443374634,-0.06737404465675353,0,0
94,-0.11279942591985066,0.0690956711769104,0,0
