Name,Value
"— А! Я очень РАД буду, — сказал князь. — Скажите, — прибавил он, как будто только что вспомнив что-то и особенно-небрежно, тогда как то, о чем он спрашивал, было главной целью его посещения, — правда, что l'impératrice-mère 12 желает назначения барона Функе первым секретарем в Вену? C'est un pauvre sire, ce baron, à ce qu'il paraît 13. — Князь Василий желал определить сына на это место, которое через императрицу Марию Феодоровну старались доставить барону.",1
"— C'est bien aimable à vous, monsieur Pierre, d'être venu voir une pauvre malade 9, — сказала ему Анна Павловна, испуганно переглядываясь с тетушкой, к которой она подводила его. Пьер пробурлил что-то непонятное и продолжал отыскивать что-то глазами. Он РАДОСТНО, весело улыбнулся, кланяясь маленький княгине, как близкой знакомой, и подошел к тетушке. Страх Анны Павловны был не напрасен, потому что Пьер, не дослушав речи тетушки о здоровье ее величества, отошел от нее. Анна Павловна испуганно остановила его словами:",2
"— Ah! voyons. Contez-nous cela, vicomte, — сказала Анна Павловна, с РАДОСТЬЮ чувствуя, как чем-то à la Louis XV отзывалась эта фраза, — contez-nous cela, vicomte 1.",3
"Князь Андрей зажмурился и отвернулся. Пьер, со времени входа князя Андрея в гостиную не спускавший с него РАДОСТНЫХ, дружелюбных глаз, подошел к нему и взял его за руку. Князь Андрей, не оглядываясь, сморщил лицо в гримасу, выражавшую досаду на того, кто трогает его за руку, но, увидав улыбающееся лицо Пьера, улыбнулся неожиданно-доброй и приятной улыбкой.",3
"— Да, да, разумеется, — подхватил Пьер, ОБРАДОВАННЫЙ выступавшею ему подмогой.",4
"— Я очень РАД, что не поехал к посланнику, — говорил князь Ипполит, — скука... Прекрасный вечер. Не правда ли, прекрасный?",5
"— Не все, потому что вас там не будет; не все, — сказал князь Ипполит, РАДОСТНО смеясь, и, схватив шаль у лакея, даже толкнул его и стал надевать ее на княгиню. От неловкости или умышленно (никто бы не мог разобрать этого) он долго не отпускал рук, когда шаль уже была надета, и как будто обнимал молодую женщину.",5
"Тон ее уже был ворчливый, губка поднялась, придавая лицу не РАДОСТНОЕ, а зверское, беличье выражение. Она замолчала, как будто находя неприличным говорить при Пьере про свою беременность, тогда как в этом и состояла сущность дела.",6
"— Да, — сказала графиня, после того как луч солнца, проникнувший в гостиную вместе с этим молодым поколением, исчез, и как будто отвечая на вопрос, которого никто ей не делал, но который постоянно занимал ее. — Сколько страданий, сколько беспокойств перенесено за то, чтобы теперь на них радоваться! А и теперь, право, больше страха, чем РАДОСТИ. Все боишься, все боишься! Именно тот возраст, в котором так много опасностей и для девочек, и для мальчиков.",9
И улыбка РАДОСТИ и успокоения осветила ее оживленное лицо.,10
"Я РАД, что смог сделать вам приятное, любезная моя Анна Михайловна, — сказал князь Василий, оправляя жабо и в жесте и голосе проявляя здесь, в Москве, пред покровительствуемою Анною Михайловной еще гораздо бо́льшую важность, чем в Петербурге, на вечере у Annette Шерер.",12
"— Старайтесь служить хорошо и быть достойным, — прибавил он, строго обращаясь к Борису. — Я РАД... Вы здесь в отпуску? — продиктовал он своим бесстрастным тоном.",12
"— А мне так хотелось еще раз поблагодарить дядю за все его благодеяния мне и Боре. C'est son filleul 10, — прибавила она таким тоном, как будто это известие должно было крайне ОБРАДОВАТЬ князя Василия.",12
"— А! Граф Ростов! — РАДОСТНО заговорил Пьер. — Так вы его сын, Илья. Я, можете себе представить, в первую минуту не узнал вас. Помните, как мы на Воробьевы горы ездили с m-me Jacquot... давно.",13
"— Я РАД, что высказал все. Может быть, вам неприятно, вы меня извините, — сказал он, успокоивая Пьера, вместо того чтоб быть успокоиваемым им, — но я надеюсь, что не оскорбил вас. Я имею правило говорить все прямо... Как же мне передать? Вы приедете обедать к Ростовым?",13
"— Нет, послушайте, — сказал Пьер, успокоиваясь. — Вы удивительный человек. То, что вы сейчас сказали, очень хорошо, очень хорошо. Разумеется, вы меня не знаете. Мы так давно не видались... детьми еще... Вы можете предполагать во мне... Я вас понимаю, очень понимаю. Я бы этого не сделал, у меня недостало бы духу, но это прекрасно. Я очень РАД, что познакомился с вами. Странно, — прибавил он, помолчав и улыбаясь, — что вы во мне предполагали! — Он засмеялся. — Ну, да что ж? Мы познакомимся с вами лучше. Пожалуйста. — Он пожал руку Борису. — Вы знаете ли, я ни разу не был у графа. Он меня не звал... Мне его жалко, как человека... Но что же делать?",13
"— Сообразите мое положение, Петр Николаич: будь я в кавалерии, я бы получал не более двухсот рублей в треть, даже и в чине поручика; а теперь я получаю двести тридцать, — говорил он с РАДОСТЬЮ, приятною улыбкой, оглядывая Шиншина и графа, как будто для него было очевидно, что его успех всегда будет составлять главную цель желаний всех остальных людей.",15
"Берг РАДОСТНО улыбнулся. Граф, а за ним и гости вышли в гостиную.",15
"— Тебе хорошо... я не завидую... я тебя люблю, и Бориса тоже, — говорила она, собравшись немного с силами, — он милый... для вас нет препятствий. А Николай мне cousin... надобно... сам митрополит... и то нельзя. И потом, ежели маменьке (Соня графиню и считала и называла матерью)... она скажет, что я порчу карьеру Николая, у меня нет сердца, что я неблагодарная, а право... вот ей-богу (она перекрестилась)... я так люблю и ее и всех вас, только Вера одна... За что? Что я ей сделала? Я так благодарна вам, что РАДА бы всем пожертвовать, да мне нечем...",17
"Действительно, всё, что только было в зале, с улыбкою РАДОСТИ смотрело на веселого старичка, который рядом с своею сановитою дамой, Марьей Дмитриевной, бывшей выше его ростом, округлял руки, в такт потряхивая ими, расправлял плечи, вывертывал ноги, слегка притопывая, и все более и более распускавшеюся улыбкой на своем круглом лице приготовлял зрителей к тому, что будет. Как только заслышались веселые, вызывающие звуки Данилы Купора, похожие на развеселого трепачка, все двери залы вдруг заставились с одной стороны мужскими, с другой — женскими улыбающимися лицами дворовых, вышедших посмотреть на веселящегося барина.",17
"Она провела его в темную гостиную, и Пьер РАД был, что никто там не видел его лица. Анна Михайловна ушла от него, и, когда она вернулась, он, подложив под голову руку, спал крепким сном.",21
"— То же, то же самое; не знаю, как на твои глаза, — отвечала РАДОСТНО княжна.",23
"— Те же часы и станок, еще математика и мои уроки геометрии, — РАДОСТНО отвечала княжна Марья, как будто ее уроки из геометрии были одним из самых радостных впечатлений ее жизни.",23
"— Те же часы и станок, еще математика и мои уроки геометрии, — радостно отвечала княжна Марья, как будто ее уроки из геометрии были одним из самых РАДОСТНЫХ впечатлений ее жизни.",23
