part,emotion,n
1,счастье,0
1,радость,4
1,восторг,1
2,счастье,5
2,радость,5
2,восторг,1
3,счастье,4
3,радость,4
3,восторг,1
4,счастье,0
4,радость,2
4,восторг,0
5,счастье,2
5,радость,1
5,восторг,0
6,счастье,11
6,радость,9
6,восторг,4
7,счастье,0
7,радость,0
7,восторг,0
8,счастье,1
8,радость,1
8,восторг,1
9,счастье,2
9,радость,4
9,восторг,0
10,счастье,3
10,радость,5
10,восторг,1
11,счастье,2
11,радость,1
11,восторг,1
12,счастье,1
12,радость,4
12,восторг,0
13,счастье,1
13,радость,0
13,восторг,0
14,счастье,0
14,радость,0
14,восторг,0
15,счастье,0
15,радость,0
15,восторг,0
16,счастье,0
16,радость,0
16,восторг,0
17,счастье,0
17,радость,0
17,восторг,0
