part,emotion,n
1,счастье,2
1,радость,0
1,восторг,1
2,счастье,0
2,радость,0
2,восторг,0
3,счастье,0
3,радость,0
3,восторг,1
4,счастье,5
4,радость,6
4,восторг,4
5,счастье,0
5,радость,1
5,восторг,0
6,счастье,8
6,радость,7
6,восторг,4
7,счастье,4
7,радость,7
7,восторг,4
8,счастье,8
8,радость,8
8,восторг,1
9,счастье,4
9,радость,6
9,восторг,0
10,счастье,0
10,радость,0
10,восторг,0
11,счастье,2
11,радость,8
11,восторг,2
12,счастье,2
12,радость,2
12,восторг,1
13,счастье,0
13,радость,0
13,восторг,0
14,счастье,0
14,радость,0
14,восторг,0
15,счастье,4
15,радость,12
15,восторг,0
16,счастье,2
16,радость,4
16,восторг,1
17,счастье,0
17,радость,0
17,восторг,0
