part,emotion,n
1,счастье,1
1,радость,6
1,восторг,1
2,счастье,0
2,радость,0
2,восторг,0
3,счастье,7
3,радость,6
3,восторг,0
4,счастье,2
4,радость,1
4,восторг,1
5,счастье,4
5,радость,10
5,восторг,4
6,счастье,3
6,радость,4
6,восторг,0
7,счастье,0
7,радость,0
7,восторг,0
8,счастье,1
8,радость,4
8,восторг,0
9,счастье,1
9,радость,1
9,восторг,2
10,счастье,1
10,радость,7
10,восторг,0
11,счастье,1
11,радость,3
11,восторг,5
12,счастье,0
12,радость,2
12,восторг,0
13,счастье,1
13,радость,4
13,восторг,1
14,счастье,1
14,радость,3
14,восторг,2
15,счастье,9
15,радость,11
15,восторг,0
16,счастье,2
16,радость,12
16,восторг,4
17,счастье,0
17,радость,0
17,восторг,0
