characters,text,volume,part,chapter
Пьер Безухов; Андрей Болконский,"Князь Андрей зажмурился и отвернулся. Пьер, со времени входа князя Андрея в гостиную не спускавший с него РАДОСТНЫХ, дружелюбных глаз, подошел к нему и взял его за руку. Князь Андрей, не оглядываясь, сморщил лицо в гримасу, выражавшую досаду на того, кто трогает его за руку, но, увидав улыбающееся лицо Пьера, улыбнулся неожиданно-доброй и приятной улыбкой.",Том первый,Часть первая,III
Николай Ростов; Марья; Андрей Болконский,"Старый князь неторопливо одевался в кабинете, хмурясь и обдумывая то, что ему делать. Приезд этих гостей сердил его. «Что мне князь Василий и его сынок? Князь Василий болтунишка, пустой, ну и сын хорош должен быть», — ворчал он про себя. Его сердило то, что приезд этих гостей поднимал в его душе нерешенный, постоянно заглушаемый вопрос, — вопрос, насчет которого старый князь всегда сам себя обманывал. Вопрос состоял в том, решится ли он когда-либо расстаться с княжной Марьей и отдать ее мужу. Князь никогда прямо не решался задавать себе этот вопрос, зная вперед, что он ответил бы по справедливости, а справедливость противоречила больше чем чувству, а всей возможности его жизни. Жизнь без княжны Марьи князю Николаю Андреевичу, несмотря на то, что он, казалось, мало дорожил ею, была немыслима. «И к чему ей выходить замуж? — думал он. — Наверно, быть несчастною. Вон Лиза за Андреем (лучше мужа теперь, кажется, трудно найти), а разве она довольна своей судьбой? И кто ее возьмет из любви? Дурна, неловка. Возьмут за связи, за богатство. И разве не живут в девках? Еще СЧАСТЛИВЕЕ!» Так думал, одеваясь, князь Николай Андреевич, а вместе с тем все откладываемый вопрос требовал немедленного решения. Князь Василий привез своего сына, очевидно, с намерением сделать предложение и, вероятно, нынче или завтра потребует прямого ответа. Имя, положение в свете приличное. «Что ж, я не прочь, — говорил сам себе князь, — но пусть он будет стоить ее. Вот это-то мы и посмотрим».",Том первый,Часть третья,IV
Марья; Андрей Болконский,"«Мое призвание другое, — думала про себя княжна Марья, — мое призвание — быть СЧАСТЛИВОЙ другим СЧАСТИЕМ, СЧАСТЬЕМ любви и самопожертвования. И чего бы мне это ни стоило, я сделаю СЧАСТИЕ бедной Amélie. Она так страстно его любит. Она так страстно раскаивается. Я все сделаю, чтоб устроить ее брак с ним. Ежели он не богат, я дам ей средства, я попрошу отца, попрошу Андрея. Я так буду СЧАСТЛИВА, когда она будет его женою. Она так неСЧАСТЛИВА, чужая, одинокая, без помощи! И Боже мой, как страстно она его любит, ежели она так могла забыть себя. Может быть, и я сделала бы то же!..» — думала княжна Марья.",Том первый,Часть третья,V
Марья; Андрей Болконский,"«Хорошо бы это было, — подумал князь Андрей, взглянув на этот образок, который с таким чувством и благоговением навесила на него сестра, — хорошо бы это было, ежели бы все было так ясно и просто, как оно кажется княжне Марье. Как хорошо бы было знать, где искать помощи в этой жизни и чего ждать после нее там, за гробом! Как бы СЧАСТЛИВ и спокоен я был, ежели бы мог сказать теперь: Господи, помилуй меня!.. Но кому я скажу это? Или сила — неопределенная, непостижимая, к которой я не только не могу обращаться, но которой не могу выразить словами, — великое все или ничего, — говорил он сам себе, — или это тот Бог, который вот здесь зашит, в этой ладанке, княжной Марьей? Ничего, ничего нет верного, кроме ничтожества всего того, что мне понятно, и величия чего-то непонятного, но важнейшего!»",Том первый,Часть третья,XIX
Марья; Андрей Болконский,"Крестный отец — дед, боясь уронить, вздрагивая, носил младенца вокруг жестяной помятой купели и передавал его крестной матери, княжне Марье. Князь Андрей, замирая от страха, чтоб не утопили ребенка, сидел в другой комнате, ожидая окончания таинства. Он РАДОСТНО взглянул на ребенка, когда ему вынесла его нянюшка, и одобрительно кивнул головой, когда нянюшка сообщила ему, что брошенный в купель вощечок с волосками не потонул, а поплыл по купели.",Том второй,Часть первая,IX
Марья; Андрей Болконский,"Князь Андрей посмотрел на сестру. Лучистые глаза княжны Марьи, в матовом полусвете полога, блестели больше обыкновенного от СЧАСТЛИВЫХ слез, которые стояли в них. Княжна Марья потянулась к брату и поцеловала его, слегка зацепив за полог кроватки. Они погрозили друг другу, еще постояли в матовом свете полога, как бы не желая расстаться с этим миром, в котором они втроем были отделены от всего света. Князь Андрей первый, путая волосы о кисею полога, отошел от кроватки. «Да, это одно, что осталось мне теперь», — сказал он со вздохом.",Том второй,Часть вторая,IX
Пьер Безухов; Андрей Болконский,"— Вот не ждал, очень РАД, — сказал князь Андрей. Пьер ничего не говорил; он удивленно, не спуская глаз, смотрел на своего друга. Его поразила происшедшая перемена в князе Андрее. Слова были ласковы, улыбка была на губах и лице князя Андрея, но взгляд был потухший, мертвый, которому, несмотря на видимое желание, князь Андрей не мог придать РАДостного и веселого блеска. Не то что похудел, побледнел, возмужал его друг; но взгляд этот и морщинка на лбу, выражавшие долгое сосредоточение на чем-то одном, поражали и отчуждали Пьера, пока он не привык к ним.",Том второй,Часть вторая,XI
Пьер Безухов; Андрей Болконский,"При свидании после долгой разлуки, как это всегда бывает, разговор долго не мог установиться; они спрашивали и отвечали коротко о таких вещах, о которых они сами знали, что надо было говорить долго. Наконец разговор стал понемногу останавливаться на прежде отрывочно сказанном, на вопросах о прошедшей жизни, о планах на будущее, о путешествии Пьера, о его занятиях, о войне и т. д. Та сосредоточенность и убитость, которую заметил Пьер во взгляде князя Андрея, теперь выражалась еще сильнее в улыбке, с которою он слушал Пьера, в особенности тогда, когда Пьер говорил с одушевлением РАДОСТИ о прошедшем или будущем. Как будто князь Андрей и желал бы, но не мог принимать участия в том, что он говорил. Пьер начинал чувствовать, что перед князем Андреем ВОСТОРЖЕННОСТЬ, мечты, надежны на СЧАСТИЕ и на добро неприличны. Ему совестно было высказывать все свои новые, масонские мысли, в особенности подновленные и возбужденные в нем его последним путешествием. Он сдерживал себя, боялся быть наивным; вместе с тем ему неудержимо хотелось поскорее показать своему другу, что он был теперь совсем другой, лучший Пьер, чем тот, который был в Петербурге.",Том второй,Часть вторая,XI
Пьер Безухов; Андрей Болконский,"— А любовь к ближнему, а самопожертвование? — заговорил Пьер. — Нет, я с вами не могу согласиться! Жить только так, чтобы не делать зла, чтобы не раскаиваться, этого мало. Я жил так, я жил для себя и погубил свою жизнь. И только теперь, когда я живу, по крайней мере стараюсь (из скромности поправился Пьер) жить для других, только теперь я понял все СЧАСТИЕ жизни. Нет, я не соглашусь с вами, да и вы не думаете того, что вы говорите. — Князь Андрей молча глядел на Пьера и насмешливо улыбался.",Том второй,Часть вторая,XI
Пьер Безухов; Андрей Болконский,"— Ежели есть Бог и есть будущая жизнь, то есть истина, есть добродетель; и высшее СЧАСТЬЕ человека состоит в том, чтобы стремиться к достижению их. Надо жить, надо любить, надо верить, — говорил Пьер, — что живем не нынче только на этом клочке земли, а жили и будем жить вечно там, во всем (он указал на небо). — Князь Андрей стоял, облокотившись на перила парома, и, слушая Пьера, не спуская глаз, смотрел на красный отблеск солнца по синеющему разливу. Пьер замолк. Было совершенно тихо. Паром давно пристал, и только волны течения с слабым звуком ударялись о дно парома. Князю Андрею казалось, что это полосканье волн к словам Пьера приговаривало: «Правда, верь этому».",Том второй,Часть вторая,XII
