character,volume,part,chapter,value,paragraph,emphasis,keywords,keytokens,emotionwords
Андрей Болконский,Том первый,Часть первая,III,3,"Князь Андрей зажмурился и отвернулся. Пьер, со времени входа князя Андрея в гостиную не спускавший с него радостных, дружелюбных глаз, подошел к нему и взял его за руку. Князь Андрей, не оглядываясь, сморщил лицо в гримасу, выражавшую досаду на того, кто трогает его за руку, но, увидав улыбающееся лицо Пьера, улыбнулся неожиданно-доброй и приятной улыбкой.","Князь Андрей зажмурился и отвернулся. Пьер, со времени входа князя Андрея в гостиную не спускавший с него РАДОСТНЫХ, дружелюбных глаз, подошел к нему и взял его за руку. Князь Андрей, не оглядываясь, сморщил лицо в гримасу, выражавшую досаду на того, кто трогает его за руку, но, увидав улыбающееся лицо Пьера, улыбнулся неожиданно-доброй и приятной улыбкой.",радостный,радостных,радость
Андрей Болконский,Том первый,Часть первая,XXIII,23,"Старик находился в хорошем расположении духа после дообеденного сна. (Он говорил, что после обеда серебряный сон, а до обеда золотой.) Он радостно из-под своих густых нависших бровей косился на сына. Князь Андрей подошел и поцеловал отца в указанное им место. Он не отвечал на любимую тему разговора отца — подтруниванье над теперешними военными людьми, а особенно над Бонапартом.","Старик находился в хорошем расположении духа после дообеденного сна. (Он говорил, что после обеда серебряный сон, а до обеда золотой.) Он РАДОСТНО из-под своих густых нависших бровей косился на сына. Князь Андрей подошел и поцеловал отца в указанное им место. Он не отвечал на любимую тему разговора отца — подтруниванье над теперешними военными людьми, а особенно над Бонапартом.",радостно,радостно,радость
Андрей Болконский,Том первый,Часть первая,XXIV,24,"И разговор зашел опять о войне, о Бонапарте и нынешних генералах и государственных людях. Старый князь, казалось, был убежден не только в том, что все теперешние деятели были мальчишки, не смыслившие и азбуки военного и государственного дела, и что Бонапарте был ничтожный французишка, имевший успех только потому, что уже не было Потемкиных и Суворовых противопоставить ему; но он был убежден даже, что никаких политических затруднений не было в Европе, не было и войны, а была какая-то кукольная комедия, в которую играли нынешние люди, притворяясь, что делают дело. Князь Андрей весело выдерживал насмешки отца над новыми людьми и с видимою радостью вызывал отца на разговор и слушал его.","И разговор зашел опять о войне, о Бонапарте и нынешних генералах и государственных людях. Старый князь, казалось, был убежден не только в том, что все теперешние деятели были мальчишки, не смыслившие и азбуки военного и государственного дела, и что Бонапарте был ничтожный французишка, имевший успех только потому, что уже не было Потемкиных и Суворовых противопоставить ему; но он был убежден даже, что никаких политических затруднений не было в Европе, не было и войны, а была какая-то кукольная комедия, в которую играли нынешние люди, притворяясь, что делают дело. Князь Андрей весело выдерживал насмешки отца над новыми людьми и с видимою РАДОСТЬЮ вызывал отца на разговор и слушал его.",радость,радостью,радость
Андрей Болконский,Том первый,Часть первая,XXIV,24,"— Это кто тебе сказал? Кто сказал? — крикнул князь. — Суворов! — И он отбросил тарелку, которую живо подхватил Тихон. — Суворов!.. Подумавши, князь Андрей. Два: Фридрих и Суворов... Моро! Моро был бы в плену, коли бы у Суворова руки свободны были; а у него на руках сидели хофс-кригс-вурст-шнапс-рат. Ему черт не рад. Вот пойдете, эти хофс-кригс-вурстраты узнаете! Суворов с ними не сладил, так уж где ж Михаиле Кутузову сладить?! Нет, дружок, — продолжал он, — вам с своими генералами против Бонапарте не обойтись; надо французов взять, чтобы своя своих не познаша и своя своих побиваша. Немца Палена в Новый-Йорк, в Америку, за французом Моро послали, — сказал он, намекая на приглашение, которое в этом году было сделано Моро вступить в русскую службу. — Чудеса!! Что, Потемкины, Суворовы, Орловы разве немцы были? Нет, брат, либо там вы все с ума сошли, либо я из ума выжил. Дай вам Бог, а мы посмотрим. Бонапарте у них стал полководец великий! Гм!..","— Это кто тебе сказал? Кто сказал? — крикнул князь. — Суворов! — И он отбросил тарелку, которую живо подхватил Тихон. — Суворов!.. Подумавши, князь Андрей. Два: Фридрих и Суворов... Моро! Моро был бы в плену, коли бы у Суворова руки свободны были; а у него на руках сидели хофс-кригс-вурст-шнапс-рат. Ему черт не РАД. Вот пойдете, эти хофс-кригс-вурстраты узнаете! Суворов с ними не сладил, так уж где ж Михаиле Кутузову сладить?! Нет, дружок, — продолжал он, — вам с своими генералами против Бонапарте не обойтись; надо французов взять, чтобы своя своих не познаша и своя своих побиваша. Немца Палена в Новый-Йорк, в Америку, за французом Моро послали, — сказал он, намекая на приглашение, которое в этом году было сделано Моро вступить в русскую службу. — Чудеса!! Что, Потемкины, Суворовы, Орловы разве немцы были? Нет, брат, либо там вы все с ума сошли, либо я из ума выжил. Дай вам Бог, а мы посмотрим. Бонапарте у них стал полководец великий! Гм!..",рад,рад,радость
Андрей Болконский,Том первый,Часть первая,XXV,25,"— Ежели он не в два пуда и шеи не оттянет... Чтобы тебе сделать удовольствие... — сказал князь Андрей, но в ту же секунду, заметив огорченное выражение, которое приняло лицо сестры при этой шутке, он раскаялся. — Очень рад, право, очень рад, мой друг, — прибавил он.","— Ежели он не в два пуда и шеи не оттянет... Чтобы тебе сделать удовольствие... — сказал князь Андрей, но в ту же секунду, заметив огорченное выражение, которое приняло лицо сестры при этой шутке, он раскаялся. — Очень РАД, право, очень РАД, мой друг, — прибавил он.",рад,рад,радость
Андрей Болконский,Том первый,Часть первая,XXV,25,"По дороге к комнате сестры, в галерее, соединявшей один дом с другим, князь Андрей встретил мило улыбавшуюся m-lle Bourienne, уже в третий раз в этот день с восторженною и наивною улыбкой попадавшуюся ему в уединенных переходах.","По дороге к комнате сестры, в галерее, соединявшей один дом с другим, князь Андрей встретил мило улыбавшуюся m-lle Bourienne, уже в третий раз в этот день с ВОСТОРЖЕННОЮ и наивною улыбкой попадавшуюся ему в уединенных переходах.",восторженною,восторженною,восторг
Андрей Болконский,Том первый,Часть вторая,III,28,"Князь Андрей был один из тех редких офицеров в штабе, который полагал свой главный интерес в общем ходе военного дела. Увидав Мака и услыхав подробности его погибели, он понял, что половина кампании проиграна, понял всю трудность положения русских войск и живо вообразил себе то, что ожидает армию, и ту роль, которую он должен будет играть в ней. Невольно он испытывал волнующее радостное чувство при мысли о посрамлении самонадеянной Австрии и о том, что через неделю, может быть, придется ему увидеть и принять участие в столкновении русских с французами, впервые после Суворова. Но он боялся гения Бонапарта, который мог оказаться сильнее всей храбрости русских войск, и вместе с тем не мог допустить позора для своего героя.","Князь Андрей был один из тех редких офицеров в штабе, который полагал свой главный интерес в общем ходе военного дела. Увидав Мака и услыхав подробности его погибели, он понял, что половина кампании проиграна, понял всю трудность положения русских войск и живо вообразил себе то, что ожидает армию, и ту роль, которую он должен будет играть в ней. Невольно он испытывал волнующее РАДОСТНОЕ чувство при мысли о посрамлении самонадеянной Австрии и о том, что через неделю, может быть, придется ему увидеть и принять участие в столкновении русских с французами, впервые после Суворова. Но он боялся гения Бонапарта, который мог оказаться сильнее всей храбрости русских войск, и вместе с тем не мог допустить позора для своего героя.",радостный,радостное,радость
Андрей Болконский,Том первый,Часть вторая,III,28,"— Как что? — заговорил князь Андрей, останавливаясь от волнения. — Да ты пойми, что мы — или офицеры, которые служим своему царю и отечеству и радуемся общему успеху и печалимся об общей неудаче, или мы лакеи, которым дела нет до господского дела. Quarante milles hommes massacrés et l'armée de nos alliés détruite, et vous trouvez là le mot pour rire, — сказал он, как будто этою французскою фразой закрепляя свое мнение. — C'est bien pour un garçon de rien comme cet individu dont vous avez fait un ami, mais pas pour vous, pas pour vous 5. Мальчишкам только можно так забавляться, — прибавил князь Андрей по-русски, выговаривая это слово с французским акцентом, заметив, что Жерков мог еще слышать его.","— Как что? — заговорил князь Андрей, останавливаясь от волнения. — Да ты пойми, что мы — или офицеры, которые служим своему царю и отечеству и РАДУЕМСЯ общему успеху и печалимся об общей неудаче, или мы лакеи, которым дела нет до господского дела. Quarante milles hommes massacrés et l'armée de nos alliés détruite, et vous trouvez là le mot pour rire, — сказал он, как будто этою французскою фразой закрепляя свое мнение. — C'est bien pour un garçon de rien comme cet individu dont vous avez fait un ami, mais pas pour vous, pas pour vous 5. Мальчишкам только можно так забавляться, — прибавил князь Андрей по-русски, выговаривая это слово с французским акцентом, заметив, что Жерков мог еще слышать его.",радоваться,радуемся,радость
Андрей Болконский,Том первый,Часть вторая,IX,34,"Ночь была темная, звездная; дорога чернелась между белевшим снегом, выпавшим накануне, в день сражения. То перебирая впечатления прошедшего сражения, то радостно воображая впечатление, которое он произведет известием о победе, вспоминая проводы главнокомандующего и товарищей, князь Андрей скакал в почтовой бричке, испытывая чувство человека, долго ждавшего, и, наконец, достигшего начала желаемого счастия. Как скоро он закрывал глаза, в ушах его раздавалась пальба ружей и орудий, которая сливалась со стуком колес и впечатлением победы. То ему начинало представляться, что русские бегут, что он сам убит; но он поспешно просыпался, со счастием как будто вновь узнавал, что ничего этого не было и что, напротив, французы бежали. Он снова вспоминал все подробности победы, свое спокойное мужество во время сражения и, успокоившись, задремывал... После темной звездной ночи наступило яркое, веселое утро. Снег таял на солнце, лошади быстро скакали, и безразлично вправе и влеве проходили новые разнообразные леса, поля, деревни.","Ночь была темная, звездная; дорога чернелась между белевшим снегом, выпавшим накануне, в день сражения. То перебирая впечатления прошедшего сражения, то РАДОСТНО воображая впечатление, которое он произведет известием о победе, вспоминая проводы главнокомандующего и товарищей, князь Андрей скакал в почтовой бричке, испытывая чувство человека, долго ждавшего, и, наконец, достигшего начала желаемого СЧАСТИЯ. Как скоро он закрывал глаза, в ушах его раздавалась пальба ружей и орудий, которая сливалась со стуком колес и впечатлением победы. То ему начинало представляться, что русские бегут, что он сам убит; но он поспешно просыпался, со СЧАСТИЕМ как будто вновь узнавал, что ничего этого не было и что, напротив, французы бежали. Он снова вспоминал все подробности победы, свое спокойное мужество во время сражения и, успокоившись, задремывал... После темной звездной ночи наступило яркое, веселое утро. Снег таял на солнце, лошади быстро скакали, и безразлично вправе и влеве проходили новые разнообразные леса, поля, деревни.",счастие; радостно,счастием;радостно;счастия,счастье;радость
Андрей Болконский,Том первый,Часть вторая,IX,34,"Дежурный флигель-адъютант, встретивший князя Андрея, попросил его подождать и пошел к военному министру. Через пять минут флигель-адъютант вернулся и, особенно учтиво наклонясь и пропуская князя Андрея вперед себя, провел его через коридор в кабинет, где занимался военный министр. Флигель-адъютант своею изысканной учтивостью, казалось, хотел оградить себя от попыток фамильярности русского адъютанта. Радостное чувство князя Андрея значительно ослабело, когда он подходил к двери кабинета военного министра. Он почувствовал себя оскорбленным, и чувство оскорбления перешло в то же мгновение незаметно для него самого в чувство презрения, ни на чем не основанного. Находчивый же ум в то же мгновение подсказал ему ту точку зрения, с которой он имел право презирать и адъютанта и военного министра. «Им, должно быть, очень легко покажется одерживать победы, не нюхая пороха!» — подумал он. Глаза его презрительно прищурились; он особенно медленно вошел в кабинет военного министра. Чувство это еще более усилилось, когда он увидал военного министра, сидевшего над большим столом и в первые две минуты не обращавшего внимания на вошедшего. Военный министр опустил свою лысую, с седыми висками, голову между двух восковых свечей и читал, отмечая карандашом, бумаги. Он дочитывал, не поднимая головы, в то время как отворилась дверь и послышались шаги.","Дежурный флигель-адъютант, встретивший князя Андрея, попросил его подождать и пошел к военному министру. Через пять минут флигель-адъютант вернулся и, особенно учтиво наклонясь и пропуская князя Андрея вперед себя, провел его через коридор в кабинет, где занимался военный министр. Флигель-адъютант своею изысканной учтивостью, казалось, хотел оградить себя от попыток фамильярности русского адъютанта. РАДОСТНОЕ чувство князя Андрея значительно ослабело, когда он подходил к двери кабинета военного министра. Он почувствовал себя оскорбленным, и чувство оскорбления перешло в то же мгновение незаметно для него самого в чувство презрения, ни на чем не основанного. Находчивый же ум в то же мгновение подсказал ему ту точку зрения, с которой он имел право презирать и адъютанта и военного министра. «Им, должно быть, очень легко покажется одерживать победы, не нюхая пороха!» — подумал он. Глаза его презрительно прищурились; он особенно медленно вошел в кабинет военного министра. Чувство это еще более усилилось, когда он увидал военного министра, сидевшего над большим столом и в первые две минуты не обращавшего внимания на вошедшего. Военный министр опустил свою лысую, с седыми висками, голову между двух восковых свечей и читал, отмечая карандашом, бумаги. Он дочитывал, не поднимая головы, в то время как отворилась дверь и послышались шаги.",радостный,Радостное,радость
